"Time","DC Machine1:Armature current","DC Machine1:Field current","DC Machine1:Rotational speed","DC Machine1:Rotor position","DC Machine1:Electrical torque","Vm2:Measured voltage"
0.83893750000002376,136.17984560545563,3.5000000000000151,301.56733317005757,-1.5458995840851797,199.39799931391519,680
0.83924999999997618,205.89600310121696,3.5000000000000098,301.50408414964801,-1.4516730631225307,301.47817323909146,680
0.83925000000000005,205.8960031064683,3.5000000000000098,301.50408414964812,-1.4516730631153338,301.47817324678061,680
0.83956249999999999,273.67802544162492,3.500000000000008,301.56912928717276,-1.357446161400814,400.72633719491057,680
0.83956250000002375,273.67802544670468,3.500000000000008,301.56912928718248,-1.357446161393649,400.72633720234847,680
0.83966911999998817,296.36098760812888,3.5000000000000075,301.62002979636742,-1.3252902755413583,433.93930828035377,680
0.83966912000001193,296.36098761315833,3.5000000000000075,301.62002979638032,-1.3252902755341922,433.93930828771801,-680
0.83974999999997613,203.8209838343661,3.5000000000000004,301.64173614627435,-1.3008940684865919,298.43987716445247,-680
0.83975,203.82098380715416,3.5000000000000004,301.64173614627418,-1.3008940684793919,298.43987712460807,-680
0.83983087999998807,111.95215867094942,3.5000000000000004,301.61890982125834,-1.2764978656152204,163.9232028690661,-680
0.83983088000001205,111.95215864381004,3.5000000000000004,301.61890982124498,-1.2764978656079875,163.92320282932792,680
0.8399375,136.17984481349123,3.5000000000000004,301.56733319440212,-1.2443421471809473,199.3979981542999,680
0.83993750000002398,136.17984481891523,3.5000000000000004,301.56733319439223,-1.2443421471737155,199.39799816224186,680
0.84024999999997618,205.89600232589945,3.5000000000000004,301.50408417271427,-1.1501156262037369,301.47817210385097,680
0.84025000000000005,205.89600233115078,3.5000000000000004,301.50408417271439,-1.15011562619654,301.47817211154012,680
0.84056249999999999,273.67802324282559,3.5,301.56912929670756,-1.0558887244762685,400.72633397537169,680
0.84056250000002397,273.67802324795281,3.5,301.56912929671739,-1.0558887244690365,400.72633398287905,680
0.84066911999998806,296.36098528595119,3.5,301.62002980450711,-1.0237328386159037,433.93930488016105,680
0.84066912000001204,296.36098529102765,3.5,301.62002980452019,-1.0237328386086706,433.93930488759412,-680
0.84074999999997613,203.82098219621065,3.5,301.64173614763178,-0.99933663156057961,298.43987476582345,-680
0.84075,203.82098216899871,3.5,301.6417361476316,-0.99933663155337948,298.43987472597905,-680
0.84083087999998807,111.95216049531888,3.5,301.61890982540905,-0.97494042868861519,163.9232055403543,-680
0.84083088000001205,111.9521604681795,3.5,301.61890982539575,-0.97494042868138209,163.92320550061615,680
